Dataset, BARN, Big NN, BART, OLS
fires, 67.7624090768894, 67.95966757323512, 79.53001764821371, 67.69752436504443
crimes, 0.15006261818364502, 0.24699734759916986, 0.15983681903140975, 0.15189759312789156
boston, 3.767815578558554, 7.060414848507938, 3.4503583557741786, 4.083472721192532
concrete, 7.280267805473989, 8.744568407556262, 7.419751200370122, 10.896731521932741
random, 11.4452872714321, 12.235876258118623, 41.521632580062196, 9.93411925244244
mpg, 3.2206236709510003, 56.29171221841548, 2.241083241883506, 3.403219227394357
wisconsin, 30.918324257106907, 38.48713669896298, 38.39645793508475, 34.91237605147647
fires, 119.53527195941666, 119.54010521214543, 119.60696044838213, 119.20531859243854
crimes, 0.14517095034187139, 0.1590487291115425, 0.1544470718103207, 0.1467780781619766
boston, 4.800255778811989, 6.7095751438425895, 4.13497279025191, 5.005106785182176
concrete, 6.787192226871926, 10.043094745624368, 6.606504229025263, 10.0932385539922
random, 11.40049916935875, 11.699023323394332, 52.62509192284417, 9.953971132925062
mpg, 4.179557288810275, 4.221632440887784, 3.4769331919096564, 3.786081240177107
wisconsin, 32.871284138698755, 47.30275695113531, 35.83249190541307, 36.042128148575365
fires, 99.70169900413983, 99.811127029291, 100.21731137721672, 99.54728622669528
crimes, 0.14999703010063084, 0.14887004789041985, 0.1632306181462605, 0.1486339489585756
boston, 5.014426461597934, 5.811124040326214, 3.799789881186921, 5.232312779721559
concrete, 7.907851853976247, 11.7856382987813, 6.838212768414607, 11.051019112214254
random, 11.071462629553206, 11.437792754795687, 38.750965276298196, 10.165150754246897
mpg, 3.327473262065325, 68.31067346152666, 3.3824401206461507, 3.4393671776842067
wisconsin, 34.52568308950174, 44.93753813371136, 37.66608047206904, 42.90112781776206
fires, 17.415001496872357, 19.147623359287326, 48.8688863385803, 21.315670579746186
crimes, 0.14531491372457636, 0.15973954473150212, 0.1546796109903191, 0.1431397409280185
boston, 4.217373424238227, 6.962008229886373, 3.6943778642376945, 5.079848253098703
concrete, 7.316312194782454, 10.721955183884676, 6.918883853443104, 10.692193824487338
random, 10.372103797311178, 10.49754634239563, 83.08959280857356, 9.382330547841121
mpg, 4.32168360355904, 16.68123299662473, 3.1415849931827315, 3.1828013705106306
wisconsin, 31.392412833542846, 33.782717165640044, 40.83928666821815, 42.74103504170418
fires, 22.39879513726867, 22.551736764373032, 52.00184628919866, 24.321621894820858
crimes, 0.11643481788166823, 0.21661665821514053, 0.137584678721122, 0.11659839586196072
boston, 4.662312116247546, 7.291991877416697, 4.326466974509133, 4.837469291891673
concrete, 7.45927343224615, 13.515988467558468, 6.991052471755724, 10.22492287805462
random, 10.766000621471889, 11.228765850801024, 47.94830637839727, 10.129207170307991
mpg, 4.481640429080331, 4.622901383881065, 3.982319679045085, 3.445595894503956
wisconsin, 31.673855236305933, 48.699817522537636, 29.906431601281714, 40.5857846767544
fires, 35.97416485300854, 37.203981305016946, 59.15647829744965, 39.23485971672102
crimes, 0.13955927918725988, 0.16195341170454852, 0.1567147444400576, 0.14371123338578254
boston, 4.224800563666792, 5.511175053599908, 3.1974776574343635, 4.369442476234212
concrete, 7.453161435106795, 8.205519718163995, 5.89818504438233, 10.509056914198261
random, 11.580118066012886, 11.762361032100761, 63.00560663917778, 10.298047395207028
mpg, 3.5015757228967854, 75.78025423834978, 3.723007994508083, 3.4521984346966588
wisconsin, 29.358220964619058, 31.616134349003925, 30.785424277926698, 37.39432031970395
fires, 39.98965967163687, 40.2658320487962, 41.322297993767805, 40.09792922668833
crimes, 0.14786997677654495, 0.23333489452332876, 0.14797762098329661, 0.14846730203189565
boston, 5.41589456439032, 7.798758772736167, 4.02954248607435, 5.300960916226488
concrete, 8.534285712373084, 10.36673081846637, 6.77750561481566, 10.362676399763336
random, 10.988444074905942, 11.25589997675207, 59.629128027455735, 9.63518747583494
mpg, 3.3335191969481217, 13.260418503764416, 3.2956603631374555, 3.5257162331659235
wisconsin, 30.744818566263532, 41.01483475246139, 34.2130093958006, 39.09183245643477
fires, 19.11951906879844, 19.719615238490594, 39.23871342403544, 25.10798643686915
crimes, 0.14059085810104907, 0.14322909819423313, 0.15143576107344717, 0.14280032467063442
boston, 5.244516324601203, 6.439053981861828, 4.595575087970525, 5.530233529704919
concrete, 7.585017327852212, 11.136382023699449, 6.385322047252435, 10.870840022140344
isotope, 0.030871879362976785, 0.03219848947332903, 0.0326933946460251, 0.030772589431785423
isotope, 0.03181204571412432, 0.057029477313303316, 0.03392935818541594, 0.030779068592354235
isotope, 0.03090305349674657, 0.03336998938692005, 0.03302945481727558, 0.030802987717267194
isotope, 0.03105716007708374, 0.03162922616447985, 0.03286095349829095, 0.030783009525331927
isotope, 0.0311260010165292, 0.03459077254491346, 0.034243105806451846, 0.030764786493865444
isotope, 0.030777956640959944, 0.040691511907271584, 0.03445079860038833, 0.030759377271788898
isotope, 0.030947820847472756, 0.03184336909508161, 0.035922202012431105, 0.030783584837564278
isotope, 0.031094630613542472, 0.03599416239249037, 0.03327975252766324, 0.03074625908400691
isotope, 0.031237864550112324, 0.042973918823360005, 0.0331743375791815, 0.030867375452094527
isotope, 0.030986280087556044, 0.03222342542451552, 0.03295244273788603, 0.03073245783872238
isotope, 0.030871879362976785, 0.03219848947332903, 0.0326933946460251, 0.030772589431785423
isotope, 0.03181204571412432, 0.057029477313303316, 0.03392935818541594, 0.030779068592354235
isotope, 0.03090305349674657, 0.03336998938692005, 0.03302945481727558, 0.030802987717267194
diabetes, 52.82472501138621, 51.92227187333336, 59.8427071907619, 52.80676951492845
diabetes, 51.68659565724577, 52.178066017398756, 56.15178457728385, 51.93235059579067
diabetes, 51.809986399467334, 52.28957222896107, 58.93173074176865, 51.680202407793914
diabetes, 50.47307329456963, 51.33315907502387, 55.72380968590429, 50.72413551297097
diabetes, 53.391744821840234, 55.24064845328568, 58.19455539313391, 53.59656298789277
diabetes, 53.910330885359045, 54.13080408503113, 58.97027510494997, 53.96321397296705
diabetes, 52.75339791868508, 54.36456737842093, 59.24217076414243, 54.04038753735391
diabetes, 53.79890752332668, 54.25421022813512, 60.61216193626241, 54.27947816372899
diabetes, 50.50327631619678, 49.334331208813516, 54.93843698643273, 49.64237991454119
diabetes, 54.870244388115985, 55.84057313246639, 66.61032567516307, 55.352797295007996
diabetes, 56.15173496523649, 56.13834659289686, 59.34459233159659, 54.830146509193014
diabetes, 58.911078540937574, 55.555332025837785, 66.02555977204473, 58.29700128267664
diabetes, 57.54782085729521, 56.2559702168059, 61.39771752045179, 56.50126152532284
