Dataset, BARN, Big NN, BART, OLS
fires, 53.30935072898865, 0.12230038642883301, 0.14283347129821777, 0.0009691715240478516
crimes, 72.85449957847595, 0.09776854515075684, 0.7856006622314453, 0.005998134613037109
boston, 79.06373691558838, 0.01340937614440918, 0.16912508010864258, 0.0011701583862304688
concrete, 154.09970617294312, 0.09428620338439941, 0.500640869140625, 0.0013391971588134766
random, 161.92549347877502, 0.19718289375305176, 0.49884581565856934, 0.0010166168212890625
mpg, 33.38249158859253, 0.006846427917480469, 0.13549160957336426, 0.0010635852813720703
wisconsin, 35.06139278411865, 0.060897111892700195, 0.08576607704162598, 0.0013337135314941406
fires, 73.64335584640503, 0.020017385482788086, 0.13586115837097168, 0.0010068416595458984
crimes, 76.47612261772156, 0.09445476531982422, 0.8363451957702637, 0.006006717681884766
boston, 87.57355451583862, 0.1283884048461914, 0.19110703468322754, 0.0013353824615478516
concrete, 123.1329836845398, 0.1900942325592041, 0.44712114334106445, 0.001001119613647461
random, 172.8872377872467, 0.20209717750549316, 0.5103955268859863, 0.0010099411010742188
mpg, 28.997586965560913, 0.008185863494873047, 0.1261746883392334, 0.0009181499481201172
wisconsin, 36.59260082244873, 0.011200189590454102, 0.08429312705993652, 0.0011289119720458984
fires, 50.25302767753601, 0.054787397384643555, 0.12333226203918457, 0.0009987354278564453
crimes, 61.66656565666199, 0.29717063903808594, 0.8393356800079346, 0.0059506893157958984
boston, 77.27407932281494, 0.12506103515625, 0.18357229232788086, 0.0010013580322265625
concrete, 142.14949941635132, 0.1469860076904297, 0.45954036712646484, 0.0009906291961669922
random, 196.8176748752594, 0.18920278549194336, 0.4439079761505127, 0.0010361671447753906
mpg, 32.382476568222046, 0.07018041610717773, 0.14065098762512207, 0.000911712646484375
wisconsin, 37.82203269004822, 0.005771160125732422, 0.08525347709655762, 0.0011587142944335938
fires, 55.91254925727844, 0.02014636993408203, 0.1237492561340332, 0.0009489059448242188
crimes, 59.202632427215576, 0.08164191246032715, 0.7828693389892578, 0.005973100662231445
boston, 68.78059959411621, 0.12017059326171875, 0.1695091724395752, 0.001035451889038086
concrete, 131.89211678504944, 0.06848478317260742, 0.44130516052246094, 0.0009927749633789062
random, 181.63232684135437, 0.20041227340698242, 0.47435593605041504, 0.001039266586303711
mpg, 26.08732509613037, 0.00921010971069336, 0.1313011646270752, 0.0009467601776123047
wisconsin, 39.732495069503784, 0.009232759475708008, 0.08490562438964844, 0.0011508464813232422
fires, 50.527249574661255, 0.012787818908691406, 0.13057184219360352, 0.0009555816650390625
crimes, 64.97307801246643, 0.07524681091308594, 0.7908904552459717, 0.0059604644775390625
boston, 68.00419569015503, 0.11940622329711914, 0.18446087837219238, 0.0009951591491699219
concrete, 133.11109924316406, 0.09264850616455078, 0.46621060371398926, 0.0010077953338623047
random, 198.8024320602417, 0.1977224349975586, 0.48285675048828125, 0.0012164115905761719
mpg, 32.415698766708374, 0.017301559448242188, 0.14018726348876953, 0.0009195804595947266
wisconsin, 36.1883864402771, 0.05468487739562988, 0.08384084701538086, 0.0011639595031738281
fires, 50.16952347755432, 0.024939775466918945, 0.13573646545410156, 0.0009553432464599609
crimes, 67.08014059066772, 0.05522656440734863, 0.7480030059814453, 0.005984783172607422
boston, 69.42314577102661, 0.12483930587768555, 0.18757343292236328, 0.0009889602661132812
concrete, 134.34017968177795, 0.18221187591552734, 0.44498705863952637, 0.0010030269622802734
random, 193.13131976127625, 0.18593072891235352, 0.4925193786621094, 0.0010192394256591797
mpg, 31.06912612915039, 0.06962108612060547, 0.13666868209838867, 0.0009109973907470703
wisconsin, 40.29460597038269, 0.01286625862121582, 0.08433222770690918, 0.0011515617370605469
fires, 64.18081068992615, 0.012679100036621094, 0.1299443244934082, 0.0009529590606689453
crimes, 66.2598283290863, 0.17570161819458008, 0.7751474380493164, 0.005987882614135742
boston, 80.43370771408081, 0.03393101692199707, 0.1710987091064453, 0.0011029243469238281
concrete, 135.75074172019958, 0.12385058403015137, 0.4288971424102783, 0.0010223388671875
random, 199.02467131614685, 0.20789885520935059, 0.4967939853668213, 0.0010154247283935547
mpg, 26.885340452194214, 0.00894784927368164, 0.1321699619293213, 0.0009145736694335938
wisconsin, 37.24140810966492, 0.06330466270446777, 0.08585858345031738, 0.0011453628540039062
fires, 52.75441575050354, 0.032619476318359375, 0.12876439094543457, 0.0009963512420654297
crimes, 57.7200653553009, 0.050157785415649414, 0.8541929721832275, 0.005959510803222656
boston, 64.12049221992493, 0.12009525299072266, 0.17203450202941895, 0.0010097026824951172
